Question,Category,SubCategory
Bangkok Thailand Cairo Egypt,Semantic,: capital-common-countries
Bangkok Thailand Canberra Australia,Semantic,: capital-common-countries
Bangkok Thailand Hanoi Vietnam,Semantic,: capital-common-countries
Bangkok Thailand Havana Cuba,Semantic,: capital-common-countries
Bangkok Thailand Helsinki Finland,Semantic,: capital-common-countries
Bangkok Thailand Islamabad Pakistan,Semantic,: capital-common-countries
Bangkok Thailand Kabul Afghanistan,Semantic,: capital-common-countries
Bangkok Thailand London England,Semantic,: capital-common-countries
Bangkok Thailand Madrid Spain,Semantic,: capital-common-countries
Bangkok Thailand Moscow Russia,Semantic,: capital-common-countries
Bangkok Thailand Oslo Norway,Semantic,: capital-common-countries
Bangkok Thailand Ottawa Canada,Semantic,: capital-common-countries
Bangkok Thailand Paris France,Semantic,: capital-common-countries
Bangkok Thailand Rome Italy,Semantic,: capital-common-countries
Bangkok Thailand Stockholm Sweden,Semantic,: capital-common-countries
Bangkok Thailand Tehran Iran,Semantic,: capital-common-countries
Bangkok Thailand Tokyo Japan,Semantic,: capital-common-countries
Bangkok Thailand Athens Greece,Semantic,: capital-common-countries
Bangkok Thailand Baghdad Iraq,Semantic,: capital-common-countries
Beijing China Berlin Germany,Semantic,: capital-common-countries
Beijing China Bern Switzerland,Semantic,: capital-common-countries
Beijing China Cairo Egypt,Semantic,: capital-common-countries
Beijing China Canberra Australia,Semantic,: capital-common-countries
Beijing China Hanoi Vietnam,Semantic,: capital-common-countries
Beijing China Havana Cuba,Semantic,: capital-common-countries
Beijing China Helsinki Finland,Semantic,: capital-common-countries
Beijing China Islamabad Pakistan,Semantic,: capital-common-countries
Beijing China Kabul Afghanistan,Semantic,: capital-common-countries
Beijing China London England,Semantic,: capital-common-countries
Beijing China Madrid Spain,Semantic,: capital-common-countries
Beijing China Moscow Russia,Semantic,: capital-common-countries
Beijing China Oslo Norway,Semantic,: capital-common-countries
Beijing China Ottawa Canada,Semantic,: capital-common-countries
Beijing China Paris France,Semantic,: capital-common-countries
Beijing China Rome Italy,Semantic,: capital-common-countries
Beijing China Stockholm Sweden,Semantic,: capital-common-countries
Beijing China Tehran Iran,Semantic,: capital-common-countries
Beijing China Tokyo Japan,Semantic,: capital-common-countries
Beijing China Athens Greece,Semantic,: capital-common-countries
Beijing China Baghdad Iraq,Semantic,: capital-common-countries
Beijing China Bangkok Thailand,Semantic,: capital-common-countries
Berlin Germany Bern Switzerland,Semantic,: capital-common-countries
Berlin Germany Cairo Egypt,Semantic,: capital-common-countries
Berlin Germany Canberra Australia,Semantic,: capital-common-countries
Berlin Germany Hanoi Vietnam,Semantic,: capital-common-countries
Berlin Germany Havana Cuba,Semantic,: capital-common-countries
Berlin Germany Helsinki Finland,Semantic,: capital-common-countries
Berlin Germany Islamabad Pakistan,Semantic,: capital-common-countries
Berlin Germany Kabul Afghanistan,Semantic,: capital-common-countries
Berlin Germany London England,Semantic,: capital-common-countries
Berlin Germany Madrid Spain,Semantic,: capital-common-countries
Berlin Germany Moscow Russia,Semantic,: capital-common-countries
Berlin Germany Oslo Norway,Semantic,: capital-common-countries
Berlin Germany Ottawa Canada,Semantic,: capital-common-countries
Berlin Germany Paris France,Semantic,: capital-common-countries
Berlin Germany Rome Italy,Semantic,: capital-common-countries
Berlin Germany Stockholm Sweden,Semantic,: capital-common-countries
Berlin Germany Tehran Iran,Semantic,: capital-common-countries
Berlin Germany Tokyo Japan,Semantic,: capital-common-countries
Berlin Germany Athens Greece,Semantic,: capital-common-countries
Berlin Germany Baghdad Iraq,Semantic,: capital-common-countries
Berlin Germany Bangkok Thailand,Semantic,: capital-common-countries
Berlin Germany Beijing China,Semantic,: capital-common-countries
Bern Switzerland Cairo Egypt,Semantic,: capital-common-countries
Bern Switzerland Canberra Australia,Semantic,: capital-common-countries
Bern Switzerland Hanoi Vietnam,Semantic,: capital-common-countries
Bern Switzerland Havana Cuba,Semantic,: capital-common-countries
Bern Switzerland Helsinki Finland,Semantic,: capital-common-countries
Bern Switzerland Islamabad Pakistan,Semantic,: capital-common-countries
Bern Switzerland Kabul Afghanistan,Semantic,: capital-common-countries
Bern Switzerland London England,Semantic,: capital-common-countries
Bern Switzerland Madrid Spain,Semantic,: capital-common-countries
Bern Switzerland Moscow Russia,Semantic,: capital-common-countries
Bern Switzerland Oslo Norway,Semantic,: capital-common-countries
Bern Switzerland Ottawa Canada,Semantic,: capital-common-countries
Bern Switzerland Paris France,Semantic,: capital-common-countries
Bern Switzerland Rome Italy,Semantic,: capital-common-countries
Bern Switzerland Stockholm Sweden,Semantic,: capital-common-countries
Bern Switzerland Tehran Iran,Semantic,: capital-common-countries
Bern Switzerland Tokyo Japan,Semantic,: capital-common-countries
Bern Switzerland Athens Greece,Semantic,: capital-common-countries
Bern Switzerland Baghdad Iraq,Semantic,: capital-common-countries
Bern Switzerland Bangkok Thailand,Semantic,: capital-common-countries
Bern Switzerland Beijing China,Semantic,: capital-common-countries
Bern Switzerland Berlin Germany,Semantic,: capital-common-countries
Cairo Egypt Canberra Australia,Semantic,: capital-common-countries
Cairo Egypt Hanoi Vietnam,Semantic,: capital-common-countries
Cairo Egypt Havana Cuba,Semantic,: capital-common-countries
Cairo Egypt Helsinki Finland,Semantic,: capital-common-countries
Cairo Egypt Islamabad Pakistan,Semantic,: capital-common-countries
Cairo Egypt Kabul Afghanistan,Semantic,: capital-common-countries
Cairo Egypt London England,Semantic,: capital-common-countries
Cairo Egypt Madrid Spain,Semantic,: capital-common-countries
Cairo Egypt Moscow Russia,Semantic,: capital-common-countries
Cairo Egypt Oslo Norway,Semantic,: capital-common-countries
Cairo Egypt Ottawa Canada,Semantic,: capital-common-countries
Cairo Egypt Paris France,Semantic,: capital-common-countries
Cairo Egypt Rome Italy,Semantic,: capital-common-countries
Cairo Egypt Stockholm Sweden,Semantic,: capital-common-countries
Cairo Egypt Tehran Iran,Semantic,: capital-common-countries
Cairo Egypt Tokyo Japan,Semantic,: capital-common-countries
Cairo Egypt Athens Greece,Semantic,: capital-common-countries
Cairo Egypt Baghdad Iraq,Semantic,: capital-common-countries
Cairo Egypt Bangkok Thailand,Semantic,: capital-common-countries
Cairo Egypt Beijing China,Semantic,: capital-common-countries
Cairo Egypt Berlin Germany,Semantic,: capital-common-countries
Cairo Egypt Bern Switzerland,Semantic,: capital-common-countries
Canberra Australia Hanoi Vietnam,Semantic,: capital-common-countries
Canberra Australia Havana Cuba,Semantic,: capital-common-countries
Canberra Australia Helsinki Finland,Semantic,: capital-common-countries
Canberra Australia Islamabad Pakistan,Semantic,: capital-common-countries
Canberra Australia Kabul Afghanistan,Semantic,: capital-common-countries
Canberra Australia London England,Semantic,: capital-common-countries
Canberra Australia Madrid Spain,Semantic,: capital-common-countries
Canberra Australia Moscow Russia,Semantic,: capital-common-countries
Canberra Australia Oslo Norway,Semantic,: capital-common-countries
Canberra Australia Ottawa Canada,Semantic,: capital-common-countries
Canberra Australia Paris France,Semantic,: capital-common-countries
Canberra Australia Rome Italy,Semantic,: capital-common-countries
Canberra Australia Stockholm Sweden,Semantic,: capital-common-countries
Canberra Australia Tehran Iran,Semantic,: capital-common-countries
Canberra Australia Tokyo Japan,Semantic,: capital-common-countries
Canberra Australia Athens Greece,Semantic,: capital-common-countries
Canberra Australia Baghdad Iraq,Semantic,: capital-common-countries
Canberra Australia Bangkok Thailand,Semantic,: capital-common-countries
Canberra Australia Beijing China,Semantic,: capital-common-countries
Canberra Australia Berlin Germany,Semantic,: capital-common-countries
Canberra Australia Bern Switzerland,Semantic,: capital-common-countries
Canberra Australia Cairo Egypt,Semantic,: capital-common-countries
Hanoi Vietnam Havana Cuba,Semantic,: capital-common-countries
Hanoi Vietnam Helsinki Finland,Semantic,: capital-common-countries
Hanoi Vietnam Islamabad Pakistan,Semantic,: capital-common-countries
Hanoi Vietnam Kabul Afghanistan,Semantic,: capital-common-countries
Hanoi Vietnam London England,Semantic,: capital-common-countries
Hanoi Vietnam Madrid Spain,Semantic,: capital-common-countries
Hanoi Vietnam Moscow Russia,Semantic,: capital-common-countries
Hanoi Vietnam Oslo Norway,Semantic,: capital-common-countries
Hanoi Vietnam Ottawa Canada,Semantic,: capital-common-countries
Hanoi Vietnam Paris France,Semantic,: capital-common-countries
Hanoi Vietnam Rome Italy,Semantic,: capital-common-countries
Hanoi Vietnam Stockholm Sweden,Semantic,: capital-common-countries
Hanoi Vietnam Tehran Iran,Semantic,: capital-common-countries
Hanoi Vietnam Tokyo Japan,Semantic,: capital-common-countries
Hanoi Vietnam Athens Greece,Semantic,: capital-common-countries
Hanoi Vietnam Baghdad Iraq,Semantic,: capital-common-countries
Hanoi Vietnam Bangkok Thailand,Semantic,: capital-common-countries
Hanoi Vietnam Beijing China,Semantic,: capital-common-countries
Hanoi Vietnam Berlin Germany,Semantic,: capital-common-countries
Hanoi Vietnam Bern Switzerland,Semantic,: capital-common-countries
Hanoi Vietnam Cairo Egypt,Semantic,: capital-common-countries
Hanoi Vietnam Canberra Australia,Semantic,: capital-common-countries
Havana Cuba Helsinki Finland,Semantic,: capital-common-countries
Havana Cuba Islamabad Pakistan,Semantic,: capital-common-countries
Havana Cuba Kabul Afghanistan,Semantic,: capital-common-countries
Havana Cuba London England,Semantic,: capital-common-countries
Havana Cuba Madrid Spain,Semantic,: capital-common-countries
Havana Cuba Moscow Russia,Semantic,: capital-common-countries
Havana Cuba Oslo Norway,Semantic,: capital-common-countries
Havana Cuba Ottawa Canada,Semantic,: capital-common-countries
Havana Cuba Paris France,Semantic,: capital-common-countries
Havana Cuba Rome Italy,Semantic,: capital-common-countries
Havana Cuba Stockholm Sweden,Semantic,: capital-common-countries
Havana Cuba Tehran Iran,Semantic,: capital-common-countries
Havana Cuba Tokyo Japan,Semantic,: capital-common-countries
Havana Cuba Athens Greece,Semantic,: capital-common-countries
Havana Cuba Baghdad Iraq,Semantic,: capital-common-countries
Havana Cuba Bangkok Thailand,Semantic,: capital-common-countries
Havana Cuba Beijing China,Semantic,: capital-common-countries
Havana Cuba Berlin Germany,Semantic,: capital-common-countries
Havana Cuba Bern Switzerland,Semantic,: capital-common-countries
Havana Cuba Cairo Egypt,Semantic,: capital-common-countries
Havana Cuba Canberra Australia,Semantic,: capital-common-countries
Havana Cuba Hanoi Vietnam,Semantic,: capital-common-countries
Helsinki Finland Islamabad Pakistan,Semantic,: capital-common-countries
Helsinki Finland Kabul Afghanistan,Semantic,: capital-common-countries
Helsinki Finland London England,Semantic,: capital-common-countries
Helsinki Finland Madrid Spain,Semantic,: capital-common-countries
Helsinki Finland Moscow Russia,Semantic,: capital-common-countries
Helsinki Finland Oslo Norway,Semantic,: capital-common-countries
Helsinki Finland Ottawa Canada,Semantic,: capital-common-countries
Helsinki Finland Paris France,Semantic,: capital-common-countries
Helsinki Finland Rome Italy,Semantic,: capital-common-countries
Helsinki Finland Stockholm Sweden,Semantic,: capital-common-countries
Helsinki Finland Tehran Iran,Semantic,: capital-common-countries
Helsinki Finland Tokyo Japan,Semantic,: capital-common-countries
Helsinki Finland Athens Greece,Semantic,: capital-common-countries
Helsinki Finland Baghdad Iraq,Semantic,: capital-common-countries
Helsinki Finland Bangkok Thailand,Semantic,: capital-common-countries
Helsinki Finland Beijing China,Semantic,: capital-common-countries
Helsinki Finland Berlin Germany,Semantic,: capital-common-countries
Helsinki Finland Bern Switzerland,Semantic,: capital-common-countries
Helsinki Finland Cairo Egypt,Semantic,: capital-common-countries
Helsinki Finland Canberra Australia,Semantic,: capital-common-countries
Helsinki Finland Hanoi Vietnam,Semantic,: capital-common-countries
Helsinki Finland Havana Cuba,Semantic,: capital-common-countries
Islamabad Pakistan Kabul Afghanistan,Semantic,: capital-common-countries
Islamabad Pakistan London England,Semantic,: capital-common-countries
Islamabad Pakistan Madrid Spain,Semantic,: capital-common-countries
Islamabad Pakistan Moscow Russia,Semantic,: capital-common-countries
Islamabad Pakistan Oslo Norway,Semantic,: capital-common-countries
Islamabad Pakistan Ottawa Canada,Semantic,: capital-common-countries
Islamabad Pakistan Paris France,Semantic,: capital-common-countries
Islamabad Pakistan Rome Italy,Semantic,: capital-common-countries
Islamabad Pakistan Stockholm Sweden,Semantic,: capital-common-countries
Islamabad Pakistan Tehran Iran,Semantic,: capital-common-countries
Islamabad Pakistan Tokyo Japan,Semantic,: capital-common-countries
Islamabad Pakistan Athens Greece,Semantic,: capital-common-countries
Islamabad Pakistan Baghdad Iraq,Semantic,: capital-common-countries
Islamabad Pakistan Bangkok Thailand,Semantic,: capital-common-countries
Islamabad Pakistan Beijing China,Semantic,: capital-common-countries
Islamabad Pakistan Berlin Germany,Semantic,: capital-common-countries
Islamabad Pakistan Bern Switzerland,Semantic,: capital-common-countries
Islamabad Pakistan Cairo Egypt,Semantic,: capital-common-countries
Islamabad Pakistan Canberra Australia,Semantic,: capital-common-countries
Islamabad Pakistan Hanoi Vietnam,Semantic,: capital-common-countries
Islamabad Pakistan Havana Cuba,Semantic,: capital-common-countries
Islamabad Pakistan Helsinki Finland,Semantic,: capital-common-countries
Kabul Afghanistan London England,Semantic,: capital-common-countries
Kabul Afghanistan Madrid Spain,Semantic,: capital-common-countries
Kabul Afghanistan Moscow Russia,Semantic,: capital-common-countries
Kabul Afghanistan Oslo Norway,Semantic,: capital-common-countries
Kabul Afghanistan Ottawa Canada,Semantic,: capital-common-countries
Kabul Afghanistan Paris France,Semantic,: capital-common-countries
Kabul Afghanistan Rome Italy,Semantic,: capital-common-countries
Kabul Afghanistan Stockholm Sweden,Semantic,: capital-common-countries
Kabul Afghanistan Tehran Iran,Semantic,: capital-common-countries
Kabul Afghanistan Tokyo Japan,Semantic,: capital-common-countries
Kabul Afghanistan Athens Greece,Semantic,: capital-common-countries
Kabul Afghanistan Baghdad Iraq,Semantic,: capital-common-countries
Kabul Afghanistan Bangkok Thailand,Semantic,: capital-common-countries
Kabul Afghanistan Beijing China,Semantic,: capital-common-countries
Kabul Afghanistan Berlin Germany,Semantic,: capital-common-countries
Kabul Afghanistan Bern Switzerland,Semantic,: capital-common-countries
Kabul Afghanistan Cairo Egypt,Semantic,: capital-common-countries
Kabul Afghanistan Canberra Australia,Semantic,: capital-common-countries
Kabul Afghanistan Hanoi Vietnam,Semantic,: capital-common-countries
Kabul Afghanistan Havana Cuba,Semantic,: capital-common-countries
Kabul Afghanistan Helsinki Finland,Semantic,: capital-common-countries
Kabul Afghanistan Islamabad Pakistan,Semantic,: capital-common-countries
London England Madrid Spain,Semantic,: capital-common-countries
London England Moscow Russia,Semantic,: capital-common-countries
London England Oslo Norway,Semantic,: capital-common-countries
London England Ottawa Canada,Semantic,: capital-common-countries
London England Paris France,Semantic,: capital-common-countries
London England Rome Italy,Semantic,: capital-common-countries
London England Stockholm Sweden,Semantic,: capital-common-countries
London England Tehran Iran,Semantic,: capital-common-countries
London England Tokyo Japan,Semantic,: capital-common-countries
London England Athens Greece,Semantic,: capital-common-countries
London England Baghdad Iraq,Semantic,: capital-common-countries
London England Bangkok Thailand,Semantic,: capital-common-countries
London England Beijing China,Semantic,: capital-common-countries
London England Berlin Germany,Semantic,: capital-common-countries
London England Bern Switzerland,Semantic,: capital-common-countries
London England Cairo Egypt,Semantic,: capital-common-countries
London England Canberra Australia,Semantic,: capital-common-countries
London England Hanoi Vietnam,Semantic,: capital-common-countries
London England Havana Cuba,Semantic,: capital-common-countries
London England Helsinki Finland,Semantic,: capital-common-countries
London England Islamabad Pakistan,Semantic,: capital-common-countries
London England Kabul Afghanistan,Semantic,: capital-common-countries
Madrid Spain Moscow Russia,Semantic,: capital-common-countries
Madrid Spain Oslo Norway,Semantic,: capital-common-countries
Madrid Spain Ottawa Canada,Semantic,: capital-common-countries
Madrid Spain Paris France,Semantic,: capital-common-countries
Madrid Spain Rome Italy,Semantic,: capital-common-countries
Madrid Spain Stockholm Sweden,Semantic,: capital-common-countries
Madrid Spain Tehran Iran,Semantic,: capital-common-countries
Madrid Spain Tokyo Japan,Semantic,: capital-common-countries
Madrid Spain Athens Greece,Semantic,: capital-common-countries
Madrid Spain Baghdad Iraq,Semantic,: capital-common-countries
Madrid Spain Bangkok Thailand,Semantic,: capital-common-countries
Madrid Spain Beijing China,Semantic,: capital-common-countries
Madrid Spain Berlin Germany,Semantic,: capital-common-countries
Madrid Spain Bern Switzerland,Semantic,: capital-common-countries
Madrid Spain Cairo Egypt,Semantic,: capital-common-countries
Madrid Spain Canberra Australia,Semantic,: capital-common-countries
Madrid Spain Hanoi Vietnam,Semantic,: capital-common-countries
Madrid Spain Havana Cuba,Semantic,: capital-common-countries
Madrid Spain Helsinki Finland,Semantic,: capital-common-countries
Madrid Spain Islamabad Pakistan,Semantic,: capital-common-countries
Madrid Spain Kabul Afghanistan,Semantic,: capital-common-countries
Madrid Spain London England,Semantic,: capital-common-countries
Moscow Russia Oslo Norway,Semantic,: capital-common-countries
Moscow Russia Ottawa Canada,Semantic,: capital-common-countries
Moscow Russia Paris France,Semantic,: capital-common-countries
Moscow Russia Rome Italy,Semantic,: capital-common-countries
Moscow Russia Stockholm Sweden,Semantic,: capital-common-countries
Moscow Russia Tehran Iran,Semantic,: capital-common-countries
Moscow Russia Tokyo Japan,Semantic,: capital-common-countries
Moscow Russia Athens Greece,Semantic,: capital-common-countries
Moscow Russia Baghdad Iraq,Semantic,: capital-common-countries
Moscow Russia Bangkok Thailand,Semantic,: capital-common-countries
Moscow Russia Beijing China,Semantic,: capital-common-countries
Moscow Russia Berlin Germany,Semantic,: capital-common-countries
Moscow Russia Bern Switzerland,Semantic,: capital-common-countries
Moscow Russia Cairo Egypt,Semantic,: capital-common-countries
Moscow Russia Canberra Australia,Semantic,: capital-common-countries
Moscow Russia Hanoi Vietnam,Semantic,: capital-common-countries
Moscow Russia Havana Cuba,Semantic,: capital-common-countries
Moscow Russia Helsinki Finland,Semantic,: capital-common-countries
Moscow Russia Islamabad Pakistan,Semantic,: capital-common-countries
Moscow Russia Kabul Afghanistan,Semantic,: capital-common-countries
Moscow Russia London England,Semantic,: capital-common-countries
Moscow Russia Madrid Spain,Semantic,: capital-common-countries
Oslo Norway Ottawa Canada,Semantic,: capital-common-countries
Oslo Norway Paris France,Semantic,: capital-common-countries
Oslo Norway Rome Italy,Semantic,: capital-common-countries
Oslo Norway Stockholm Sweden,Semantic,: capital-common-countries
Oslo Norway Tehran Iran,Semantic,: capital-common-countries
Oslo Norway Tokyo Japan,Semantic,: capital-common-countries
Oslo Norway Athens Greece,Semantic,: capital-common-countries
Oslo Norway Baghdad Iraq,Semantic,: capital-common-countries
Oslo Norway Bangkok Thailand,Semantic,: capital-common-countries
Oslo Norway Beijing China,Semantic,: capital-common-countries
Oslo Norway Berlin Germany,Semantic,: capital-common-countries
Oslo Norway Bern Switzerland,Semantic,: capital-common-countries
Oslo Norway Cairo Egypt,Semantic,: capital-common-countries
Oslo Norway Canberra Australia,Semantic,: capital-common-countries
Oslo Norway Hanoi Vietnam,Semantic,: capital-common-countries
Oslo Norway Havana Cuba,Semantic,: capital-common-countries
Oslo Norway Helsinki Finland,Semantic,: capital-common-countries
Oslo Norway Islamabad Pakistan,Semantic,: capital-common-countries
Oslo Norway Kabul Afghanistan,Semantic,: capital-common-countries
Oslo Norway London England,Semantic,: capital-common-countries
Oslo Norway Madrid Spain,Semantic,: capital-common-countries
Oslo Norway Moscow Russia,Semantic,: capital-common-countries
Ottawa Canada Paris France,Semantic,: capital-common-countries
Ottawa Canada Rome Italy,Semantic,: capital-common-countries
Ottawa Canada Stockholm Sweden,Semantic,: capital-common-countries
Ottawa Canada Tehran Iran,Semantic,: capital-common-countries
Ottawa Canada Tokyo Japan,Semantic,: capital-common-countries
Ottawa Canada Athens Greece,Semantic,: capital-common-countries
Ottawa Canada Baghdad Iraq,Semantic,: capital-common-countries
Ottawa Canada Bangkok Thailand,Semantic,: capital-common-countries
Ottawa Canada Beijing China,Semantic,: capital-common-countries
Ottawa Canada Berlin Germany,Semantic,: capital-common-countries
Ottawa Canada Bern Switzerland,Semantic,: capital-common-countries
Ottawa Canada Cairo Egypt,Semantic,: capital-common-countries
Ottawa Canada Canberra Australia,Semantic,: capital-common-countries
Ottawa Canada Hanoi Vietnam,Semantic,: capital-common-countries
Ottawa Canada Havana Cuba,Semantic,: capital-common-countries
Ottawa Canada Helsinki Finland,Semantic,: capital-common-countries
Ottawa Canada Islamabad Pakistan,Semantic,: capital-common-countries
Ottawa Canada Kabul Afghanistan,Semantic,: capital-common-countries
Ottawa Canada London England,Semantic,: capital-common-countries
Ottawa Canada Madrid Spain,Semantic,: capital-common-countries
Ottawa Canada Moscow Russia,Semantic,: capital-common-countries
Ottawa Canada Oslo Norway,Semantic,: capital-common-countries
Paris France Rome Italy,Semantic,: capital-common-countries
Paris France Stockholm Sweden,Semantic,: capital-common-countries
Paris France Tehran Iran,Semantic,: capital-common-countries
Paris France Tokyo Japan,Semantic,: capital-common-countries
Paris France Athens Greece,Semantic,: capital-common-countries
Paris France Baghdad Iraq,Semantic,: capital-common-countries
Paris France Bangkok Thailand,Semantic,: capital-common-countries
Paris France Beijing China,Semantic,: capital-common-countries
Paris France Berlin Germany,Semantic,: capital-common-countries
Paris France Bern Switzerland,Semantic,: capital-common-countries
Paris France Cairo Egypt,Semantic,: capital-common-countries
Paris France Canberra Australia,Semantic,: capital-common-countries
Paris France Hanoi Vietnam,Semantic,: capital-common-countries
Paris France Havana Cuba,Semantic,: capital-common-countries
Paris France Helsinki Finland,Semantic,: capital-common-countries
Paris France Islamabad Pakistan,Semantic,: capital-common-countries
Paris France Kabul Afghanistan,Semantic,: capital-common-countries
Paris France London England,Semantic,: capital-common-countries
Paris France Madrid Spain,Semantic,: capital-common-countries
Paris France Moscow Russia,Semantic,: capital-common-countries
Paris France Oslo Norway,Semantic,: capital-common-countries
Paris France Ottawa Canada,Semantic,: capital-common-countries
Rome Italy Stockholm Sweden,Semantic,: capital-common-countries
Rome Italy Tehran Iran,Semantic,: capital-common-countries
Rome Italy Tokyo Japan,Semantic,: capital-common-countries
Rome Italy Athens Greece,Semantic,: capital-common-countries
Rome Italy Baghdad Iraq,Semantic,: capital-common-countries
Rome Italy Bangkok Thailand,Semantic,: capital-common-countries
Rome Italy Beijing China,Semantic,: capital-common-countries
Rome Italy Berlin Germany,Semantic,: capital-common-countries
Rome Italy Bern Switzerland,Semantic,: capital-common-countries
Rome Italy Cairo Egypt,Semantic,: capital-common-countries
Rome Italy Canberra Australia,Semantic,: capital-common-countries
Rome Italy Hanoi Vietnam,Semantic,: capital-common-countries
Rome Italy Havana Cuba,Semantic,: capital-common-countries
Rome Italy Helsinki Finland,Semantic,: capital-common-countries
Rome Italy Islamabad Pakistan,Semantic,: capital-common-countries
Rome Italy Kabul Afghanistan,Semantic,: capital-common-countries
Rome Italy London England,Semantic,: capital-common-countries
Rome Italy Madrid Spain,Semantic,: capital-common-countries
Rome Italy Moscow Russia,Semantic,: capital-common-countries
Rome Italy Oslo Norway,Semantic,: capital-common-countries
Rome Italy Ottawa Canada,Semantic,: capital-common-countries
Rome Italy Paris France,Semantic,: capital-common-countries
Stockholm Sweden Tehran Iran,Semantic,: capital-common-countries
Stockholm Sweden Tokyo Japan,Semantic,: capital-common-countries
Stockholm Sweden Athens Greece,Semantic,: capital-common-countries
Stockholm Sweden Baghdad Iraq,Semantic,: capital-common-countries
Stockholm Sweden Bangkok Thailand,Semantic,: capital-common-countries
Stockholm Sweden Beijing China,Semantic,: capital-common-countries
Stockholm Sweden Berlin Germany,Semantic,: capital-common-countries
Stockholm Sweden Bern Switzerland,Semantic,: capital-common-countries
Stockholm Sweden Cairo Egypt,Semantic,: capital-common-countries
Stockholm Sweden Canberra Australia,Semantic,: capital-common-countries
Stockholm Sweden Hanoi Vietnam,Semantic,: capital-common-countries
Stockholm Sweden Havana Cuba,Semantic,: capital-common-countries
Stockholm Sweden Helsinki Finland,Semantic,: capital-common-countries
Stockholm Sweden Islamabad Pakistan,Semantic,: capital-common-countries
Stockholm Sweden Kabul Afghanistan,Semantic,: capital-common-countries
Stockholm Sweden London England,Semantic,: capital-common-countries
Stockholm Sweden Madrid Spain,Semantic,: capital-common-countries
Stockholm Sweden Moscow Russia,Semantic,: capital-common-countries
Stockholm Sweden Oslo Norway,Semantic,: capital-common-countries
Stockholm Sweden Ottawa Canada,Semantic,: capital-common-countries
Stockholm Sweden Paris France,Semantic,: capital-common-countries
Stockholm Sweden Rome Italy,Semantic,: capital-common-countries
Tehran Iran Tokyo Japan,Semantic,: capital-common-countries
Tehran Iran Athens Greece,Semantic,: capital-common-countries
Tehran Iran Baghdad Iraq,Semantic,: capital-common-countries
Tehran Iran Bangkok Thailand,Semantic,: capital-common-countries
Tehran Iran Beijing China,Semantic,: capital-common-countries
Tehran Iran Berlin Germany,Semantic,: capital-common-countries
Tehran Iran Bern Switzerland,Semantic,: capital-common-countries
Tehran Iran Cairo Egypt,Semantic,: capital-common-countries
